INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
42809,1981,01,01,26.0,12.1,04,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,2,180, , ,   , , ,   , , ,   ,  ,
42809,1981,01,02,25.0,11.6,03,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,1,0,4,2,195,2,4,045, , ,   , , ,   ,  ,
42809,1981,01,03,25.4,11.3,03,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,1,0,4,2,180,2,2,260, , ,   , , ,   ,  ,
42809,1981,01,04,25.8,11.8,02,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,4,3,120,2,2,150, , ,   , , ,   ,  ,
42809,1981,01,05,28.2,13.9,04,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,9,8,030, , ,   , , ,   , , ,   ,  ,
42809,1981,01,06,28.0,16.4,06,2.6,   ,00,45,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,1,100,4,3,150,2,2,165, , ,   ,  ,
42809,1981,01,07,28.4,18.4,05,6.3,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,1,360,2,3,180, , ,   , , ,   ,  ,
42809,1981,01,08,22.8,11.6,06,1.8,   ,00,28,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,1,0,4,3,150,2,2,180, , ,   , , ,   ,  ,
42809,1981,01,09,21.0,10.2,04,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,1,0,4,2,070,2,3,120, , ,   , , ,   ,  ,
42809,1981,01,10,22.0,10.5,06,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42809,1981,01,11,22.4,13.0,07,0.0,   ,00,50,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,3,290,5,7,105,2,3,485, , ,   ,  ,
42809,1981,01,12,20.4,15.0,06,0.8,   ,03,40,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,4,550, , ,   , , ,   , , ,   ,  ,
42809,1981,01,13,20.2,13.0,04,1.6,   ,02,02,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,1,0,4,3,080,2,2,115, , ,   , , ,   ,  ,
42809,1981,01,14,25.6,12.3,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42809,1981,01,15,23.2,11.4,04,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,090, , ,   , , ,   , , ,   ,  ,
42809,1981,01,16,24.6,11.2,06,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42809,1981,01,17,25.0,10.9,  ,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,090, , ,   , , ,   , , ,   ,  ,
42809,1981,01,18,27.2,11.6,03,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
42809,1981,01,19,26.6,14.4,03,0.0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
